id_number	plant_id	maternal_plant	population	block	continent	latitude	longitude	ft_start_date	final_height	total_branches	male_fitness_estimate	female_fitness_estimate
295	GE295	3HC	HC	1	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
296	GE296	39WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
297	GE297	14WV	WV	1	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
298	GE298	14PS	PS	1	Nam	45.3347	-79.956231	NA	NA	NA	NA	NA
299	GE299	103MI	MI	1	Nam	44.37683	-79.74113	NA	NA	NA	NA	NA
300	GE300	19DH	DH	1	Nam	38.68109706	-75.07450333	91	127.4	20	368.3333333	35.74442003
301	GE301	12DS	DS	1	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
302	GE302	19SH	SH	1	Eur	48.21292953	18.93131109	48	78.8	13	133	NA
303	GE303	56RM	RM	1	Eur	44.74194	4.940783	48	73.4	20	287.5	13.37970198
304	GE304	29IN	IN	1	Nam	42.44996	-76.46113	44	74.2	33	561	16.8017269
305	GE305	7OM	OM	1	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
306	GE306	2SL	SL	1	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
307	GE307	38RM	RM	1	Eur	44.74194	4.940783	52	82	18	255	16.31620871
308	GE308	8VN	VN	1	Nam	37.92026101	-75.47660198	91	106.4	11	95.7	22.64026169
309	GE309	7MF	MF	1	Nam	38.40708263	-75.56824697	85	41.6	4	12	1.020502538
310	GE310	1DS	DS	1	Nam	38.64183334	-75.445	85	85.4	18	450	25.8968903
311	GE311	193IN	IN	1	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
312	GE312	4HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
313	GE313	4AV	AV	1	Nam	40.20018743	-76.76244026	NA	NA	NA	NA	NA
314	GE314	19PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
315	GE315	3PR	PR	1	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
316	GE316	1HL	HL	1	Nam	38.92013797	-75.44832488	71	132.8	22	990	63.05829142
317	GE317	56SL	SL	1	Eur	49.222985	19.302752	46	72.4	15	195	12.3676039
318	GE318	54PG	PG	1	Eur	43.9475	4.536631	81	84.6	11	168.6666667	18.15586402
319	GE319	11PO	PO	1	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
320	GE320	22SH	SH	1	Eur	48.21292953	18.93131109	44	68.6	13	122	NA
321	GE321	8HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
322	GE322	7HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
323	GE323	7HC	HC	1	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
324	GE324	7SH	SH	1	Eur	48.21292953	18.93131109	48	70.2	14	145	NA
325	GE325	2DF	DF	1	Nam	39.32390625	-75.62242479	81	98.6	13	136.5	20.34072894
326	GE326	1316CB	CB	1	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
327	GE327	11DS	DS	1	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
328	GE328	4MF	MF	1	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
329	GE329	189IN	IN	1	Nam	42.44996	-76.46113	65	71.6	20	134.4444444	6.163631104
330	GE330	14VN	VN	1	Nam	37.92026101	-75.47660198	NA	NA	NA	NA	NA
331	GE331	17HC	HC	1	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
332	GE332	5PR	PR	1	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
333	GE333	10HK	HK	1	Eur	46.89164819	19.65085249	NA	NA	NA	NA	NA
334	GE334	32SD	SD	1	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
335	GE335	1HJ	HJ	1	Eur	47.70273145	20.07493272	65	44.8	12	229.7142857	6.199506489
336	GE336	46WV	WV	1	Nam	39.6584	-79.90525	85	71.8	10	110	11.81815539
337	GE337	85WV	WV	1	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
338	GE338	30FL	FL	1	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
339	GE339	13PO	PO	1	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
340	GE340	9PB	PB	1	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
341	GE341	1332CB	CB	1	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
342	GE342	162RM	RM	1	Eur	44.74194	4.940783	50	83.2	24	582.8571429	26.86287046
343	GE343	9HM	HM	1	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
344	GE344	55HR	HR	1	Eur	47.13845	19.47464	44	42.8	16	432	11.55049856
345	GE345	14DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
346	GE346	3DH	DH	1	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
347	GE347	165PG	PG	1	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
348	GE348	118RM	RM	1	Eur	44.74194	4.940783	79	103.8	17	459	33.38313058
349	GE349	27WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
350	GE350	2PR	PR	1	Nam	40.65946579	-76.91820217	58	80.4	20	140	9.480452658
351	GE351	85HR	HR	1	Eur	47.13845	19.47464	NA	NA	NA	NA	NA
352	GE352	15PS	PS	1	Nam	45.3347	-79.956231	46	69.8	10	340	21.01639621
353	GE353	4SB	SB	1	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
354	GE354	9PV	PV	1	Eur	49.8798343	19.89245121	52	57.4	12	271.8	12.41737904
355	GE355	28WC	WC	1	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
356	GE356	6HK	HK	1	Eur	46.89164819	19.65085249	71	59	13	109.7777778	5.340918532
357	GE357	35SD	SD	1	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
358	GE358	4DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
359	GE359	1PB	PB	1	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
360	GE360	2HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
361	GE361	13DF	DF	1	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
362	GE362	60RM	RM	1	Eur	44.74194	4.940783	52	82.2	15	525	2.99112993
363	GE363	10HJ	HJ	1	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
364	GE364	7HJ	HJ	1	Eur	47.70273145	20.07493272	65	69.6	23	529	20.45233787
365	GE365	30SD	SD	1	Nam	45.225364	-79.681836	52	66	13	202	11.75778
366	GE366	3PB	PB	1	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
367	GE367	8PS	PS	1	Nam	45.3347	-79.956231	NA	NA	NA	NA	NA
368	GE368	1OM	OM	1	Nam	37.77932728	-75.61065442	92	95.8	22	390.2105263	24.30666682
369	GE369	16SZ	SZ	1	Eur	48.74195476	19.13689272	54	70	12	178	12.7875998
370	GE370	4PT	PT	1	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
371	GE371	8MF	MF	2	Nam	38.40708263	-75.56824697	119	124.8	23	271.8181818	28.69073893
372	GE372	11HM	HM	2	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
373	GE373	5HJ	HJ	2	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
374	GE374	3OM	OM	2	Nam	37.77932728	-75.61065442	121	100.4	29	243.6	14.96075389
375	GE375	114MI	MI	2	Nam	44.37683	-79.74113	46	77.6	22	36	2.698373596
376	GE376	6SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
377	GE377	10HC	HC	2	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
378	GE378	5SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
379	GE379	7HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
380	GE380	83HR	HR	2	Eur	47.13845	19.47464	52	80	14	245	17.84098817
381	GE381	9HK	HK	2	Eur	46.89164819	19.65085249	52	66	17	476	20.89438385
382	GE382	1313CB	CB	2	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
383	GE383	13PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
384	GE384	5DF	DF	2	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
385	GE385	15DH	DH	2	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
386	GE386	1HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
387	GE387	13DH	DH	2	Nam	38.68109706	-75.07450333	113	75.8	11	183.3333333	15.70927754
388	GE388	4HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
389	GE389	5SZ	SZ	2	Eur	48.74195476	19.13689272	46	117	11	143	28.38303601
390	GE390	4FL	FL	2	Nam	44.750014	-79.704694	101	35.2	23	310.5	0.981693089
391	GE391	12MF	MF	2	Nam	38.40708263	-75.56824697	115	87.8	17	394.9230769	25.02976796
392	GE392	6HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
393	GE393	114IN	IN	2	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
394	GE394	20SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
395	GE395	13HM	HM	2	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
396	GE396	173LH	LH	2	Eur	45.66117	4.966539	44	68	15	296.7857143	15.20893687
397	GE397	18PO	PO	2	Eur	50.22392429	19.17026453	52	62.4	12	249	13.18493221
398	GE398	8SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
399	GE399	3SU	SU	2	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
400	GE400	165LH	LH	2	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
401	GE401	53SL	SL	2	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
402	GE402	51MI	MI	2	Nam	44.37683	-79.74113	50	67.2	13	127.4	8.967165901
403	GE403	65RM	RM	2	Eur	44.74194	4.940783	NA	NA	NA	NA	NA
404	GE404	42WC	WC	2	Nam	44.003197	-79.393311	52	69.6	16	584.8888889	27.5029937
405	GE405	14PA	PA	2	Nam	39.930872	-75.583156	NA	NA	NA	NA	NA
406	GE406	21SD	SD	2	Nam	45.225364	-79.681836	36	51.8	15	141	2.839065821
407	GE407	1330CB	CB	2	Nam	43.63519	-79.34576	52	72	16	331.2	17.4252322
408	GE408	16HL	HL	2	Nam	38.92013797	-75.44832488	71	108.8	18	266.1428571	26.16886149
409	GE409	10DS	DS	2	Nam	38.64183334	-75.445	75	105.8	20	141.3333333	18.42132488
410	GE410	17DH	DH	2	Nam	38.68109706	-75.07450333	71	112.2	16	198.6666667	25.78154867
411	GE411	10DF	DF	2	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
412	GE412	12HL	HL	2	Nam	38.92013797	-75.44832488	71	99	14	44.54545455	15.85984034
413	GE413	10HC	HC	1	Eur	47.962356	20.894481	48	44.6	4	16	20.76536659
414	GE414	5LH	LH	2	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
415	GE415	12SL	SL	2	Eur	49.222985	19.302752	40	81.8	17	901	44.70961787
416	GE416	1DH	DH	2	Nam	38.68109706	-75.07450333	88	97.2	18	177.75	18.30796963
417	GE417	10MF	MF	2	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
418	GE418	20LH	LH	2	Eur	45.66117	4.966539	77	54.2	30	150	0.588900851
419	GE419	9HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
420	GE420	6DS	DS	2	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
421	GE421	18PS	PS	2	Nam	45.3347	-79.956231	44	43.6	14	79.33333333	0.918921856
422	GE422	117IN	IN	2	Nam	42.44996	-76.46113	48	64.6	16	311.2727273	13.97958529
423	GE423	2HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
424	GE424	6HJ	HJ	2	Eur	47.70273145	20.07493272	NA	NA	NA	NA	NA
425	GE425	49PG	PG	2	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
426	GE426	1318CB	CB	2	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
427	GE427	89HR	HR	2	Eur	47.13845	19.47464	44	68.8	17	414.8	19.2400102
428	GE428	4HC	HC	2	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
429	GE429	2PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
430	GE430	3PO	PO	2	Eur	50.22392429	19.17026453	50	73.6	12	144	12.58353522
431	GE431	6OM	OM	2	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
432	GE432	4PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
433	GE433	10PS	PS	2	Nam	45.3347	-79.956231	40	54.8	19	349.6	10.21050366
434	GE434	13PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
435	GE435	15HR	HR	2	Eur	47.13845	19.47464	NA	NA	NA	NA	NA
436	GE436	2BP	BP	2	Nam	39.64569554	-75.71813984	NA	NA	NA	NA	NA
437	GE437	7HB	HB	2	Eur	47.8226962	19.089972	48	68.8	NA	NA	NA
438	GE438	6SU	SU	2	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
439	GE439	2PV	PV	2	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
440	GE440	5SD	SD	2	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
441	GE441	23PB	PB	2	Eur	50.12194	18.81494	44	53.4	15	75	0.558438243
442	GE442	11MF	MF	2	Nam	38.40708263	-75.56824697	91	119.2	14	151.2	27.51439564
443	GE443	7DS	DS	2	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
444	GE444	26WC	WC	2	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
445	GE445	18SH	SH	2	Eur	48.21292953	18.93131109	44	70.4	13	128	NA
446	GE446	2PO	PO	2	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
447	GE447	5MF	MF	2	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
448	GE448	14WC	WC	2	Nam	44.003197	-79.393311	50	76.6	14	278	18.07196792
449	GE449	2OM	OM	2	Nam	37.77932728	-75.61065442	85	92.6	14	51.33333333	13.9135865
450	GE450	2DS	DS	2	Nam	38.64183334	-75.445	83	103.4	14	268.3333333	27.02911192
451	GE451	16PV	PV	2	Eur	49.8798343	19.89245121	46	52	11	249.15	10.21770189
452	GE452	5FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
453	GE453	12HK	HK	2	Eur	46.89164819	19.65085249	NA	NA	NA	NA	NA
454	GE454	9LH	LH	2	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
455	GE455	94WV	WV	2	Nam	39.6584	-79.90525	65	47.8	8	67	2.901159407
456	GE456	88MI	MI	2	Nam	44.37683	-79.74113	NA	NA	NA	NA	NA
457	GE457	2HL	HL	2	Nam	38.92013797	-75.44832488	NA	NA	NA	NA	NA
458	GE458	16SH	SH	2	Eur	48.21292953	18.93131109	NA	NA	NA	NA	NA
459	GE459	2FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
460	GE460	6PR	PR	2	Nam	40.65946579	-76.91820217	NA	NA	NA	NA	NA
461	GE461	20PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
462	GE462	20HK	HK	2	Eur	46.89164819	19.65085249	71	30	8	192	2.054918966
463	GE463	7PV	PV	2	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
464	GE464	6SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
465	GE465	18PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
466	GE466	19PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
467	GE467	3AV	AV	2	Nam	40.20018743	-76.76244026	NA	NA	NA	NA	NA
468	GE468	9DH	DH	2	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
469	GE469	1AV	AV	2	Nam	40.20018743	-76.76244026	NA	NA	NA	NA	NA
470	GE470	16DF	DF	2	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
471	GE471	6MF	MF	2	Nam	38.40708263	-75.56824697	NA	NA	NA	NA	NA
472	GE472	60RM	RM	2	Eur	44.74194	4.940783	50	78.8	20	400	20.1095991
473	GE473	61SL	SL	2	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
474	GE474	6PV	PV	2	Eur	49.8798343	19.89245121	71	69.6	11	220	15.11876435
475	GE475	2SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
476	GE476	7PT	PT	2	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
477	GE477	9SH	SH	2	Eur	48.21292953	18.93131109	NA	NA	NA	NA	NA
478	GE478	4HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
479	GE479	1331CB	CB	2	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
480	GE480	6HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
481	GE481	12PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
482	GE482	1SB	SB	2	Eur	49.13566482	21.55096851	46	84.6	21	367.5	20.07587062
483	GE483	18VN	VN	2	Nam	37.92026101	-75.47660198	89	105.2	19	296	25.5309932
484	GE484	11SU	SU	2	Nam	41.45751046	-77.13565654	54	62.4	10	160	10.68224321
485	GE485	3HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
486	GE486	2SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
487	GE487	2SD	SD	2	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
488	GE488	1PO	PO	2	Eur	50.22392429	19.17026453	58	78.2	17	340	19.30868904
489	GE489	13PV	PV	2	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
490	GE490	46FL	FL	2	Nam	44.750014	-79.704694	48	66.2	17	773.5	NA
491	GE491	8FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
492	GE492	7DH	DH	2	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
493	GE493	32FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
494	GE494	32SL	SL	2	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
495	GE495	9PT	PT	2	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
496	GE496	91HR	HR	2	Eur	47.13845	19.47464	NA	NA	NA	NA	NA
497	GE497	4OM	OM	2	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
498	GE498	7PA	PA	2	Nam	39.930872	-75.583156	52	NA	NA	NA	NA
499	GE499	9PA	PA	2	Nam	39.930872	-75.583156	71	113.6	11	415.8	38.93347361
500	GE500	43FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
501	GE501	9PO	PO	2	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
502	GE502	101LH	LH	2	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
503	GE503	1HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
504	GE504	9HJ	HJ	2	Eur	47.70273145	20.07493272	65	76.2	NA	NA	NA
505	GE505	15PT	PT	2	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
506	GE506	25LH	LH	2	Eur	45.66117	4.966539	NA	NA	NA	NA	NA
507	GE507	20SH	SH	2	Eur	48.21292953	18.93131109	NA	NA	NA	NA	NA
508	GE508	109RM	RM	2	Eur	44.74194	4.940783	NA	NA	NA	NA	NA
509	GE509	5OM	OM	2	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
510	GE510	20WC	WC	2	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
511	GE511	5PT	PT	2	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
512	GE512	5HL	HL	2	Nam	38.92013797	-75.44832488	NA	NA	NA	NA	NA
513	GE513	16FL	FL	2	Nam	44.750014	-79.704694	NA	NA	NA	NA	NA
514	GE514	12DF	DF	2	Nam	39.32390625	-75.62242479	NA	NA	NA	NA	NA
515	GE515	63WV	WV	2	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
516	GE516	12PA	PA	2	Nam	39.930872	-75.583156	NA	NA	NA	NA	NA
517	GE517	16HK	HK	2	Eur	46.89164819	19.65085249	52	49.8	19	304	6.49945208
518	GE518	75MI	MI	2	Nam	44.37683	-79.74113	65	48.2	6	40.5	3.227968091
519	GE519	2PS	PS	2	Nam	45.3347	-79.956231	46	66.4	17	267.1428571	12.04640615
520	GE520	167PG	PG	2	Eur	43.9475	4.536631	71	58.8	5	33.75	7.30842701
521	GE521	8OM	OM	2	Nam	37.77932728	-75.61065442	NA	NA	NA	NA	NA
522	GE522	5HM	HM	2	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
523	GE523	31PG	PG	2	Eur	43.9475	4.536631	56	79.4	18	390.8571429	21.25329694
524	GE524	62MI	MI	2	Nam	44.37683	-79.74113	52	71.2	12	260	NA
525	GE525	17HK	HK	2	Eur	46.89164819	19.65085249	48	58.4	16	528	21.13772863
526	GE526	2HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
527	GE527	8DS	DS	2	Nam	38.64183334	-75.445	NA	NA	NA	NA	NA
528	GE528	5PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
529	GE529	137PG	PG	2	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
530	GE530	83MI	MI	2	Nam	44.37683	-79.74113	48	68.8	19	608	26.22680057
531	GE531	1PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
532	GE532	21PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
533	GE533	23SZ	SZ	2	Eur	48.74195476	19.13689272	58	58.4	9	69.75	6.063135946
534	GE534	10HM	HM	2	Eur	47.62666192	19.44151603	NA	NA	NA	NA	NA
535	GE535	4BP	BP	2	Nam	39.64569554	-75.71813984	NA	NA	NA	NA	NA
536	GE536	1306CB	CB	2	Nam	43.63519	-79.34576	NA	NA	NA	NA	NA
537	GE537	22PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
538	GE538	10SD	SD	2	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
539	GE539	8SZ	SZ	2	Eur	48.74195476	19.13689272	34	49.2	18	375	10.00864233
540	GE540	3SD	SD	2	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
541	GE541	101WV	WV	2	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
542	GE542	7VN	VN	2	Nam	37.92026101	-75.47660198	NA	NA	NA	NA	NA
543	GE543	204WV	WV	2	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
544	GE544	89IN	IN	2	Nam	42.44996	-76.46113	NA	NA	NA	NA	NA
545	GE545	59SL	SL	2	Eur	49.222985	19.302752	42	70	12	354	20.36151381
546	GE546	19PO	PO	2	Eur	50.22392429	19.17026453	NA	NA	NA	NA	NA
547	GE547	24SD	SD	2	Nam	45.225364	-79.681836	NA	NA	NA	NA	NA
548	GE548	18WC	WC	2	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
549	GE549	15SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
550	GE550	5HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
551	GE551	8SU	SU	2	Nam	41.45751046	-77.13565654	65	68.2	22	459.4117647	17.63171482
552	GE552	19WC	WC	2	Nam	44.003197	-79.393311	NA	NA	NA	NA	NA
553	GE553	1SU	SU	2	Nam	41.45751046	-77.13565654	NA	NA	NA	NA	NA
554	GE554	174WV	WV	2	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
555	GE555	2PA	PA	2	Nam	39.930872	-75.583156	NA	NA	NA	NA	NA
556	GE556	73PG	PG	2	Eur	43.9475	4.536631	NA	NA	NA	NA	NA
557	GE557	5DH	DH	2	Nam	38.68109706	-75.07450333	NA	NA	NA	NA	NA
558	GE558	1341CB	CB	2	Nam	43.63519	-79.34576	52	68	18	630	27.55739554
559	GE559	17SH	SH	2	Eur	48.21292953	18.93131109	NA	NA	NA	NA	NA
560	GE560	6VN	VN	2	Nam	37.92026101	-75.47660198	NA	NA	NA	NA	NA
561	GE561	10SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
562	GE562	2PE	PE	2	Eur	51.35332297	19.60609006	52	66.2	13	71.5	6.211843667
563	GE563	55LH	LH	2	Eur	45.66117	4.966539	71	67.8	19	183.6666667	7.616464773
564	GE564	2AV	AV	2	Nam	40.20018743	-76.76244026	NA	NA	NA	NA	NA
565	GE565	16HC	HC	2	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
566	GE566	69RM	RM	2	Eur	44.74194	4.940783	52	60.8	16	112	4.075135307
567	GE567	19PA	PA	2	Nam	39.930872	-75.583156	71	130	16	768	56.50745369
568	GE568	8PB	PB	2	Eur	50.12194	18.81494	NA	NA	NA	NA	NA
569	GE569	16VN	VN	2	Nam	37.92026101	-75.47660198	NA	NA	NA	NA	NA
570	GE570	1SZ	SZ	2	Eur	48.74195476	19.13689272	NA	NA	NA	NA	NA
571	GE571	42SL	SL	2	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
572	GE572	19PS	PS	2	Nam	45.3347	-79.956231	NA	NA	NA	NA	NA
573	GE573	5HB	HB	2	Eur	47.8226962	19.089972	NA	NA	NA	NA	NA
574	GE574	5HC	HC	2	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
575	GE575	55PG	PG	2	Eur	43.9475	4.536631	60	70	16	380	18.82578427
576	GE576	15HC	HC	2	Eur	47.962356	20.894481	NA	NA	NA	NA	NA
577	GE577	30LH	LH	2	Eur	45.66117	4.966539	48	85.2	17	221	16.63589739
578	GE578	8HL	HL	2	Nam	38.92013797	-75.44832488	67	105.4	18	327.2727273	27.61037088
579	GE579	6PA	PA	2	Nam	39.930872	-75.583156	71	74.6	15	255	15.71905654
580	GE580	12VN	VN	2	Nam	37.92026101	-75.47660198	87	90.2	7	21	16.41440423
581	GE581	22VN	VN	2	Nam	37.92026101	-75.47660198	85	99.8	26	385.6666667	22.85550042
582	GE582	107RM	RM	2	Eur	44.74194	4.940783	55	43.8	8	98	2.836225634
583	GE583	33SD	SD	2	Nam	45.225364	-79.681836	50	70	16	246	13.05928155
584	GE584	4DS	DS	2	Nam	38.64183334	-75.445	81	142.4	19	513	47.87975657
585	GE585	5HK	HK	2	Eur	46.89164819	19.65085249	NA	NA	NA	NA	NA
586	GE586	16PT	PT	2	Nam	40.07056	-75.436571	NA	NA	NA	NA	NA
587	GE587	43SL	SL	2	Eur	49.222985	19.302752	NA	NA	NA	NA	NA
588	GE588	3HS	HS	2	Eur	48.18515189	20.92252985	NA	NA	NA	NA	NA
589	GE589	17PV	PV	2	Eur	49.8798343	19.89245121	NA	NA	NA	NA	NA
590	GE590	7SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
591	GE591	8PA	PA	2	Nam	39.930872	-75.583156	73	77.6	12	94.8	11.86525743
592	GE592	9PE	PE	2	Eur	51.35332297	19.60609006	NA	NA	NA	NA	NA
593	GE593	3SB	SB	2	Eur	49.13566482	21.55096851	NA	NA	NA	NA	NA
594	GE594	56HR	HR	2	Eur	47.13845	19.47464	34	61.4	18	630	25.24908605
595	GE595	11WV	WV	2	Nam	39.6584	-79.90525	NA	NA	NA	NA	NA
